codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3516606;13,928065;Gália;49,552778;-22,291389;1500;330
3516705;0;Garça;49,656111;-22,210556;3000;343
3516804;24,608445;Gastão Vidigal;50,186944;-20,798611;3200;476
3516853;20,170236;Gavião Peixoto;48,494722;-21,838889;500;269
3516903;0;General Salgado;50,360556;-20,648333;17111;501
3517000;30,034043;Getulina;49,928611;-21,798611;702;390
3517109;40,186983;Glicério;50,205833;-21,376111;3730;439
3517208;11,303538;Guaiçara;49,798611;-21,621944;1455;389
3517307;41,715685;Guaimbê;49,896667;-21,91;458;381
3517406;64,414333;Guaíra;48,310556;-20,318333;750;397
3517505;48,401885;Guapiaçu;49,220278;-20,795;2010;405
3517604;71,146814;Guapiara;48,532778;-24,185;180;206
3517703;57,175409;Guará;47,824167;-20,428333;1720;367
3517802;15,995733;Guaraçaí;51,206667;-21,028333;5480;547
3517901;69,292775;Guaraci;48,944722;-20,498611;1277;413
3518008;25,21173;Guarani d'Oeste;50,339444;-20,074722;3252;543
3518107;48,552255;Guarantã;49,589722;-21,895;531;354
3518206;86,863112;Guararapes;50,642778;-21,260833;2800;484
3518305;65,366228;Guararema;46,035;-23,415;1850;63
3518404;37,313484;Guaratinguetá;45,1925;-22,816389;18050;169
3518503;27,778322;Guareí;48,184167;-23,372778;8650;159
3518602;52,557031;Guariba;48,228333;-21,36;110;292
3518701;0;Guarujá;46,256389;-23,993056;6;63
3518800;56,824902;Guarulhos;46,533333;-23,462778;52;14
3518859;66,120267;Guatapará;48,037778;-21,496667;250;269
3518909;27,964987;Guzolândia;50,661944;-20,649722;8250;525
3519006;36,604638;Herculândia;50,385278;-22,003611;2960;421
3519055;30,31399;Holambra;47,055556;-22,633056;680;110
3519071;17,135224;Hortolândia;47,22;-22,858333;6;97
3519105;25,003222;Iacanga;49,024722;-21,89;1640;306
3519204;59,051137;Iacri;50,689444;-21,858333;835;457
3519253;42,440007;Iaras;49,162778;-22,870833;160;269
3519303;39,32975;Ibaté;47,996667;-21,954722;315;225
3519402;46,547648;Ibirá;49,240833;-21,080278;1870;383
3519501;35,016639;Ibirarema;50,0725;-22,8175;175;361
3519600;0;Ibitinga;48,828889;-21,757778;3060;300
3519709;84,943165;Ibiúna;47,2225;-23,656389;852;61
3519808;56,940185;Icém;49,195;-20,341667;1384;443
3519907;58,073311;Iepê;51,076111;-22,660556;3740;465
3520004;66,16984;Igaraçu do Tietê;48,557778;-22,509167;92;228
3520103;17,464844;Igarapava;47,746944;-20,038333;1200;405
3520202;64,574991;Igaratá;46,156111;-23,204444;717;62
3520301;45,196731;Iguape;47,555278;-24,708056;260;159
3520400;85,994701;Ilhabela;45,358056;-23,778056;45;133
3520426;47,01316;Ilha Comprida;47,54;-24,741111;0;161
3520442;33,367493;Ilha Solteira;51,3425;-20,432778;4250;596
3520509;26,100967;Indaiatuba;47,218056;-23,090278;2600;78
3520608;8,9140614;Indiana;51,251667;-22,174444;786;498
3520707;34,102013;Indiaporã;50,289722;-19,98;6030;547
3520806;47,057124;Inúbia Paulista;50,961944;-21,769722;720;486
3520905;36,353653;Ipaussu;49,626389;-23,056667;250;311
3521002;45,862295;Iperó;47,688611;-23,350278;1120;110
3521101;32,980513;Ipeúna;47,718889;-22,435833;173;166
3521150;27,471947;Ipiguá;49,387222;-20,656667;2010;428
3521200;60,905677;Iporanga;48,593056;-24,585556;480;230
3521309;67,201904;Ipuã;48,012222;-20,438056;500;372
3521408;59,260111;Iracemápolis;47,518611;-22,580556;157;140
3521507;38,415118;Irapuã;49,408889;-21,279444;890;380
3521606;31,469481;Irapuru;51,345;-21,570833;2500;532
3521705;0;Itaberá;49,137222;-23,861944;9000;257
3521804;38,981047;Itaí;49,090556;-23,417778;1960;251
3521903;23,985097;Itajobi;49,054444;-21,318056;1350;351
3522000;24,96547;Itaju;48,804722;-21,981111;900;282
3522109;68,913361;Itanhaém;46,788889;-24,183056;0;72
3522158;16,897888;Itaóca;48,842778;-24,64;720;255
3522208;68,142127;Itapecerica da Serra;46,849167;-23,716944;0;29
3522307;0;Itapetininga;48,053056;-23,591667;20080;145
3522406;29,778332;Itapeva;48,875556;-23,982222;4900;233
3522505;48,897468;Itapevi;46,934167;-23,548889;0;30
3522604;57,696372;Itapira;46,821667;-22,436111;1300;125
3522653;18,557447;Itapirapuã Paulista;49,168056;-24,573889;328;281
3522703;18,120053;Itápolis;48,812778;-21,595556;1320;311
3522802;58,199516;Itaporanga;49,489722;-23,707778;3870;292
3522901;43,153407;Itapuí;48,719167;-22,233333;690;259
3523008;41,614285;Itapura;51,508889;-20,646111;730;597
3523107;95,824084;Itaquaquecetuba;46,348333;-23,486111;20;30
