codigo,dist_centro,longitude,latitude,peso,dist_cap
3522406,"29,778332","48,875556","-23,982222",4900,233
3522505,"48,897468","46,934167","-23,548889",0,30
3522604,"57,696372","46,821667","-22,436111",1300,125
3522653,"18,557447","49,168056","-24,573889",328,281
3522703,"18,120053","48,812778","-21,595556",1320,311
3522802,"58,199516","49,489722","-23,707778",3870,292
3522901,"43,153407","48,719167","-22,233333",690,259
3523008,"41,614285","51,508889","-20,646111",730,597
3523107,"95,824084","46,348333","-23,486111",20,30
3523206,"34,16259","49,331667","-24,1125",5366,282
3523305,"28,935457","47,174444","-24,289167",21,99
3523404,"25,320009","46,838889","-23,005833",2300,63
3523503,0,"48,615833","-23,101667",6600,208
3523602,"44,103218","47,822778","-22,252778",910,188
3523701,"6,5072691","47,219167","-20,640833",1263,327
3523800,"61,620167","46,975","-21,736944",2100,204
3523909,0,"47,299167","-23,264167",9920,75
3524006,"27,530277","47,057778","-23,153056",215,61
3524105,"61,767555","47,780556","-20,339444",1400,374
3524204,"21,749633","48,4125","-20,688056",252,366
3524303,"37,658462","48,322222","-21,254722",1500,308
3524402,"52,199242","45,965833","-23,305278",1600,74
3524501,"29,622759","49,57","-20,882222",1780,423
3524600,0,"48,002222","-24,6925",3500,188
3524709,"53,119696","46,985833","-22,705556",1200,100
3524808,"27,876792","50,545833","-20,268889",8826,543
3524907,"28,677163","45,687778","-23,253611",2200,102
3525003,"49,975063","46,9025","-23,5275",0,27
3525102,"23,318508","47,763889","-21,017778",2400,303
3525201,"40,414064","46,728333","-23,101389",149,50
3525300,"37,924538","48,557778","-22,296389",900,241
3525409,"18,242229","47,589167","-20,311111",483,372
3525508,"27,39214","46,275556","-22,930278",1820,78
3525607,"43,102673","50,767778","-22,250278",2037,448
3525706,0,"49,688333","-21,052778",11320,419
3525805,"26,185303","49,787222","-22,008889",400,366
3525854,"24,492716","47,784167","-23,086667",2400,128
3525904,"36,09208","46,884167","-23,186389",210,47
3526001,"20,53872","51,433611","-21,514722",1600,542
3526100,"18,274394","47,634722","-24,320833",940,133
3526209,"55,606014","47,068333","-23,931667",0,61
3526308,"38,029757","45,190278","-23,090556",8971,156
3526407,"18,206845","47,836667","-23,049722",2150,135
3526506,"7,4969887","51,039722","-21,168333",5960,525
3526605,"56,3241","44,902222","-22,570833",2800,208
3526704,"39,238612","47,390278","-22,185556",1800,170
3526803,"79,500235","48,800278","-22,598611",388,245
3526902,"51,571509","47,401667","-22,564722",1087,134
3527009,"48,974597","46,65","-22,523056",400,113
3527108,"19,800315","49,7425","-21,678611",4328,381
3527207,"41,790632","45,124722","-22,730833",12350,179
3527256,"38,169823","50,224167","-20,966944",770,467
3527306,"23,065931","46,950556","-23,086389",65,60
3527405,"49,861557","51,018889","-21,720278",3000,494
3527504,"28,121037","49,5225","-22,431111",240,321
3527603,"51,825515","47,704444","-21,555",40,246
3527702,"50,871676","50,326667","-21,675833",1105,432
3527801,"37,769094","49,817222","-22,415",240,349
3527900,"11,655079","50,392222","-22,34",4003,408
3528007,"65,599212","48,711389","-22,502222",126,242
3528106,"44,828734","49,963889","-20,805833",4380,458
3528205,"16,28445","50,194444","-20,145833",5830,526
3528304,"14,002093","50,226111","-20,643889",2500,491
3528403,"33,485629","47,183333","-23,545833",670,56
3528502,"41,038686","46,586667","-23,318611",22,26
3528601,"22,092396","49,321944","-23,003333",3700,281
3528700,"21,253849","51,9625","-22,108056",5610,570
3528809,"51,275774","50,667222","-22,610556",500,426
3528858,"62,40645","49,128889","-21,259167",360,361
3528908,"38,604691","51,181389","-21,798889",1370,506
3529005,"29,835622","49,945833","-22,213889",2000,370
3529104,"6,9136075","50,823056","-20,440556",955,553
3529203,0,"51,170833","-22,145833",12000,491
3529302,"43,362484","48,365833","-21,603333",1600,279
3529401,"80,043535","46,461389","-23,667778",0,22
3529500,"16,878542","49,580833","-21,166667",1515,402
3529609,"11,321147","50,173333","-20,359167",3620,508
3529658,"51,69567","50,638056","-19,966389",3994,573
3529708,"33,808269","48,031944","-20,179444",2000,400
3529807,"78,83745","48,450556","-22,409444",560,225
3529906,0,"47,459722","-24,281389",2000,117
3530003,"35,729787","50,137222","-19,979444",3687,536
3530102,0,"51,101667","-21,133611",9120,532
3530201,0,"51,906389","-22,291944",5710,558
3530300,"25,243289","49,521111","-20,819167",3320,424
3530409,"19,317649","49,463889","-20,616667",3000,436
3530508,"37,688398","47,004722","-21,467778",9000,233
3530607,"85,041571","46,188333","-23,522778",530,46
3530706,"60,557408","46,942222","-22,372222",1300,134
3530805,"53,729348","46,957778","-22,431944",1600,128
3530904,"46,198175","47,566111","-22,929167",360,117
3531001,"35,870748","50,091667","-20,850278",750,465
3531100,"38,653716","46,620833","-24,093056",0,60
3531209,"33,235858","46,680833","-22,681944",650,96
3531308,"34,711551","48,496389","-21,261111",1500,317
3531407,"17,602445","49,714167","-20,7725",9100,442
3531506,"17,495099","48,641389","-20,907222",950,358
3531605,"9,0857116","51,568611","-21,299444",3300,566
3531704,"30,139242","45,839722","-22,956667",1150,105
3531803,"26,519461","47,315833","-22,946667",5850,96
3531902,"52,266239","48,057778","-20,731389",1200,345
3532009,"26,80579","46,791667","-22,88",790,76
3532058,"59,301605","48,151111","-21,508056",350,274
3532108,"24,010864","51,2775","-20,993333",2790,556
3532157,"53,237548","51,236944","-22,620556",2000,482
3532207,"46,581945","51,524444","-22,407222",3000,517
3532306,"40,527936","45,441944","-23,375556",3958,123
3532405,"29,594415","46,395","-23,181111",3000,47
3532504,"24,522438","49,629722","-20,846111",3670,430
3532603,"33,917559","50,038333","-20,694167",10665,472
3532702,"34,605107","49,777778","-20,913333",2140,436
3532801,"20,374191","49,496111","-21,015833",1900,407
3532827,"37,318875","48,903611","-24,120833",98,240
3532843,"19,811527","50,949167","-20,385833",1150,567
3532868,"12,889369","50,343056","-20,763056",3200,491
3532900,"29,585317","48,560833","-21,778333",450,278
3533007,"36,368468","49,314167","-20,533889",15313,433
3533106,"9,2004189","51,643889","-21,334444",700,571
3533205,"31,945276","51,49","-21,103889",1400,569
3533254,"61,505007","48,918611","-20,992222",215,368
3533304,"25,295814","50,261667","-20,856111",1630,478
3533403,"27,984298","47,295833","-22,7775",615,109
3533502,0,"49,220833","-21,468056",3320,352
3533601,"23,384259","47,730556","-20,730833",3812,332
3533700,"37,386994","49,922778","-22,438889",793,359
3533809,"28,380202","49,341944","-22,941389",2100,285
3533908,"77,412901","48,914722","-20,737222",2004,390
3534005,"36,958468","49,295278","-20,6",1527,426
3534104,"26,906711","50,090833","-22,152778",250,387
3534203,"17,165802","49,351389","-20,182222",1359,467
3534302,"36,671816","47,886667","-20,720278",600,339
3534401,"59,787631","46,791667","-23,5325",0,16
3534500,0,"50,281389","-22,318333",5501,398
3534609,"49,16116","50,878611","-21,796667",750,477
3534708,"29,0749","49,870556","-22,978889",1120,337
3534757,"34,143781","50,372222","-20,000556",3940,551
3534807,"18,043539","51,700278","-21,489444",1950,569
3534906,"37,88639","51,260556","-21,562222",2020,524
3535002,"34,614647","49,433056","-20,39",11030,454
3535101,"61,062991","48,800833","-21,083056",115,352
3535200,0,"50,761944","-20,416389",10564,549
3535309,"52,747972","50,2175","-22,788889",950,376
3535408,"30,07783","51,859722","-21,356389",1600,590
3535507,"32,056364","50,575833","-22,412778",5271,423
3535606,"41,477303","45,662222","-23,386111",440,101
3535705,"68,361559","48,773611","-21,016389",258,356
3535804,"71,953874","48,722778","-23,388611",4370,214
3535903,"39,371555","50,585833","-20,103333",3749,559
3536000,"58,831545","50,771667","-21,768056",440,469
3536109,"37,872507","48,373611","-23,081111",1640,185
3536208,"12,491168","47,881111","-24,715",200,181
3536257,"24,267298","50,014722","-20,303611",2690,501
3536307,0,"47,281667","-20,639444",5719,329
3536406,"27,84028","51,830556","-21,317778",1950,589
3536505,"18,699099","47,154167","-22,761111",97,102
3536570,"39,341137","49,402778","-22,578333",815,303
3536604,0,"49,383333","-20,030833",4500,482
3536703,"56,228664","48,775","-22,351667",1050,256
3536802,"20,372126","46,443056","-22,793056",1680,86
3536901,"14,767438","50,110278","-20,2475",6173,512
3537008,"25,263255","47,476667","-20,256944",2609,375
3537107,"43,623187","46,901389","-22,741944",930,93
3537156,"76,305611","50,793889","-22,815",300,433
3537206,"23,021727","47,232778","-24,274722",157,101
3537305,"26,173855","50,0775","-21,419722",5190,425
3537404,0,"51,109167","-20,638333",5750,563
3537503,"7,6427659","47,975833","-23,076111",2000,147
3537602,"46,968377","46,998333","-24,32",45,93
3537701,"76,909797","50,599167","-21,592222",600,462
3537800,"65,094827","47,427778","-23,711944",2543,83
3537909,"42,213504","47,716389","-23,813056",5080,114
3538006,"14,895253","45,461667","-22,923889",4987,139
3538105,"45,179231","48,907222","-21,185833",434,351
3538204,"19,822785","46,590556","-22,779444",1800,85
3538303,"12,639417","51,728611","-21,8675",2215,555
3538501,"55,849978","45,176111","-22,613611",1940,182
3538600,"21,977802","46,358056","-23,053889",4000,62
3538709,0,"47,649167","-22,725278",5575,138
3538808,0,"49,383889","-23,193611",4780,284
3538907,"31,237736","49,457222","-21,998611",1850,337
3539004,"24,354598","48,657778","-21,091389",350,343
3539103,"33,732194","47,002222","-23,396944",0,41
3539202,"36,826469","51,5","-22,275278",4700,519
3539301,"22,453544","47,425833","-21,996111",2700,190
3539400,"79,379653","49,134722","-22,412778",580,285
3539509,"27,562261","48,221667","-21,009444",800,325
3539608,"62,089857","49,929167","-21,034444",1100,439
3539707,"36,412464","50,203889","-22,637778",430,379
3539806,"98,078506","46,344722","-23,528056",9,30
3539905,"25,332328","49,823611","-20,785278",2950,449
3540002,"25,918739","50,171667","-22,108611",1540,396
3540101,"33,439629","49,366667","-21,736389",443,345
3540200,"49,192542","48,037222","-21,0225",250,315
3540259,"25,018844","50,523333","-20,440833",5576,529
3540309,"23,950257","49,703333","-20,166667",1250,491
3540408,"49,493532","50,5375","-19,932778",5559,568
3540507,"21,354358","48,125","-23,175833",3684,158
3540606,"23,616274","47,523889","-23,214722",7750,98
3540705,"15,510098","47,479167","-21,853889",500,207
3540754,"39,449318","45,251389","-22,842778",820,162
3540804,"32,314152","49,377222","-21,042778",7010,396
3540853,"33,910556","51,086667","-21,851111",450,494
3540903,"78,02735","48,065556","-21,359444",140,283
3541000,"14,942417","46,402778","-24,005833",0,56
3541059,"33,030228","48,666111","-22,808333",1650,223
3541109,"25,608266","49,438056","-22,1",700,329
3541208,"19,573089","51,553056","-22,006111",5400,533
3541307,0,"52,115556","-21,763333",6658,597
3541406,"39,268105","51,388889","-22,125556",3950,513
3541505,"24,479162","51,843889","-21,876111",4458,566
3541604,0,"49,858056","-21,536667",12147,399
3541653,"31,927887","48,054722","-23,299444",2166,148
3541703,"49,956362","50,698333","-22,2475",2271,441
3541802,"49,108313","50,240278","-21,798889",420,418
3541901,"62,746951","44,773889","-22,536944",4300,221
3542008,"27,47503","50,3075","-22,0725",280,411
3542107,"36,489645","47,526944","-23,011667",100,109
3542206,"30,072456","50,893056","-22,229167",8507,461
3542305,"26,823714","45,536667","-23,266944",4958,117
3542404,"15,977929","51,302778","-22,221389",1390,501
3542503,"43,418622","49,225278","-21,888056",770,323
3542602,"27,879044","47,843611","-24,4875",1330,161
3542701,"21,317424","47,482778","-20,603333",729,338
3542800,0,"49,008889","-24,656944",740,271
3542909,"23,626029","48,176111","-22,066667",1480,228
3543006,"54,942844","48,765556","-24,220833",460,229
3543105,"38,014902","47,590278","-20,456944",1045,356
3543204,"20,311896","49,933611","-22,784167",641,348
3543238,"15,871134","51,651389","-21,975833",4600,544
3543253,"82,767455","48,365278","-24,099167",690,186
3543303,"85,393731","46,413333","-23,710556",0,29
3543402,"39,5175","47,810278","-21,1775",900,289
3543501,"70,748656","49,429167","-23,828333",2364,287
3543600,"32,389989","47,421389","-20,080556",1677,392
3543709,"55,919826","48,070833","-21,586944",1300,263
3543808,"65,761472","50,722222","-21,725833",920,466
3543907,"56,763246","47,561389","-22,411389",1470,158
3544004,"13,853309","47,606111","-22,843333",573,126
3544103,"89,327945","46,398333","-23,744167",0,33
3544202,"26,745999","49,681944","-19,980833",2890,505
3544251,0,"53,059167","-22,579722",5120,667
3544301,"40,458224","45,305278","-22,898056",3800,154
3544400,"93,695547","50,726667","-21,300556",790,489
3544509,"36,370868","51,002222","-20,179444",1490,585
3544608,"46,67706","49,578333","-21,459722",521,381
3544707,"36,618243","50,956111","-21,883611",800,481
3544806,"38,365337","49,485278","-21,341111",1550,382
3544905,"29,456952","47,838056","-20,771944",4000,331
3545001,"63,640042","45,846389","-23,532222",838,81
3545100,"66,273643","50,860556","-21,624167",274,484
3545159,"13,798841","47,676944","-22,846667",645,132
3545209,"7,1542352","47,286944","-23,200833",900,77
3545308,"49,299989","47,573333","-23,648889",2042,96
